TIME,TRACE_ID,SRC_ID,MU_GROUP_ID,BFT_ID,ANTENNA_ID1,SECTOR_ID1,AWV_ID1,BSS_ID
928309525,0,1,1,0,0,15,255,0
1952309522,1,1,1,1,0,25,255,0
2976297008,2,1,1,2,0,16,255,0
4000296426,3,1,1,3,0,26,255,0
5024294677,4,1,1,4,0,26,255,0
6048286823,5,1,1,5,0,25,255,0
7072286235,6,1,1,6,0,15,255,0
8096286235,7,1,1,7,0,26,255,0
9120285068,8,1,1,8,0,26,255,0
10144285062,9,1,1,9,0,16,255,0
11168279680,10,1,1,10,0,7,255,0
12192283898,11,1,1,11,0,8,255,0
13216291023,12,1,1,12,0,15,255,0
14240291023,12,1,1,13,0,15,255,0
15264284477,13,1,1,14,0,17,255,0
16288286799,14,1,1,15,0,16,255,0
17312295817,15,1,1,16,0,16,255,0
18336295814,16,1,1,17,0,8,255,0
19360310068,17,1,1,18,0,16,255,0
20384310062,18,1,1,19,0,16,255,0
21408311808,19,1,1,20,0,16,255,0
22432320826,20,1,1,21,0,17,255,0
23456320823,21,1,1,22,0,17,255,0
24480320823,22,1,1,23,0,16,255,0
25504320817,23,1,1,24,0,17,255,0
26528316017,24,1,1,25,0,16,255,0
27552315435,25,1,1,26,0,16,255,0
28576315435,25,1,1,27,0,16,255,0
29600320232,26,1,1,28,0,17,255,0
30624319650,27,1,1,29,0,16,255,0
31648316590,28,1,1,30,0,16,255,0
32672316590,29,1,1,31,0,13,255,0
33696320808,30,1,1,32,0,17,255,0
34720320808,31,1,1,33,0,13,255,0
35744320805,32,1,1,34,0,16,255,0
36768320805,33,1,1,35,0,17,255,0
37792320805,34,1,1,36,0,13,255,0
38816320805,35,1,1,37,0,13,255,0
39840320799,36,1,1,38,0,17,255,0
40864320799,37,1,1,39,0,13,255,0
41888320799,38,1,1,40,0,13,255,0
42912320799,39,1,1,41,0,13,255,0
43936320799,39,1,1,42,0,13,255,0
44960320799,40,1,1,43,0,12,255,0
45984320799,41,1,1,44,0,17,255,0
47008320214,42,1,1,45,0,13,255,0
48032315414,43,1,1,46,0,13,255,0
49056315996,44,1,1,47,0,13,255,0
50080315996,45,1,1,48,0,12,255,0
51104315414,46,1,1,49,0,13,255,0
52128319632,47,1,1,50,0,17,255,0
53152319632,48,1,1,51,0,16,255,0
54176312360,49,1,1,52,0,13,255,0
