SRC_ID,DST_ID,TRACE_IDX,TX_ANTENNA_ID1,TX_SECTOR_ID1,TX_AWV_ID1,TX_ANTENNA_ID2,TX_SECTOR_ID2,TX_AWV_ID2,TX_ANTENNA_ID3,TX_SECTOR_ID3,TX_AWV_ID3,TX_ANTENNA_ID4,TX_SECTOR_ID4,TX_AWV_ID4,RX_ANTENNA_ID1,RX_SECTOR_ID1,RX_AWV_ID1,RX_ANTENNA_ID2,RX_SECTOR_ID2,RX_AWV_ID2,RX_ANTENNA_ID3,RX_SECTOR_ID3,RX_AWV_ID3,RX_ANTENNA_ID4,RX_SECTOR_ID4,RX_AWV_ID4,CAPACITY,BTRAIN
1,2,205331,1,125,255,2,100,255,3,126,255,4,97,255,1,141,255,2,140,255,3,126,255,4,131,255,13.9520997320067,0
1,2,205332,1,125,255,2,100,255,3,110,255,4,98,255,1,141,255,2,140,255,3,142,255,4,131,255,13.6840941726673,0
1,2,205333,1,125,255,2,100,255,3,110,255,4,81,255,1,141,255,2,124,255,3,142,255,4,131,255,13.7687175563608,0
1,2,205334,1,125,255,2,100,255,3,126,255,4,81,255,1,142,255,2,124,255,3,141,255,4,131,255,14.1471260876192,0
1,2,205335,1,125,255,2,100,255,3,126,255,4,81,255,1,141,255,2,124,255,3,142,255,4,131,255,14.1903054679948,0
1,2,205336,1,125,255,2,100,255,3,110,255,4,98,255,1,141,255,2,124,255,3,142,255,4,131,255,14.1835978261706,0
1,2,205337,1,110,255,2,100,255,3,125,255,4,98,255,1,142,255,2,141,255,3,125,255,4,131,255,16.4488487526043,0
1,2,205338,1,125,255,2,99,255,3,110,255,4,81,255,1,125,255,2,141,255,3,142,255,4,131,255,16.9449343003855,0
1,2,205339,1,125,255,2,99,255,3,110,255,4,81,255,1,141,255,2,125,255,3,142,255,4,131,255,16.8587895875315,0
1,2,205340,1,109,255,2,99,255,3,125,255,4,81,255,1,142,255,2,125,255,3,126,255,4,131,255,16.5116492490514,0
1,2,205341,1,124,255,2,99,255,3,125,255,4,81,255,1,142,255,2,125,255,3,126,255,4,131,255,16.6453633963771,0
